province,city_or_region
Alberta,Athabasca
Alberta,Brooks
Alberta,Calgary
Alberta,Cardston
Alberta,Edmonton
Alberta,Edson
Alberta,Fort McMurray
Alberta,Grande Prairie
Alberta,High River
Alberta,Innisfail
Alberta,Leduc
Alberta,Lethbridge
Alberta,Medicine Hat
Alberta,Onion Lake
Alberta,Peace River
Alberta,Ponoka
Alberta,Red Deer
Alberta,St. Albert
Alberta,St. Paul
Alberta,Strathmore
Alberta,Sylvan Lake
British Columbia,Abbotsford
British Columbia,Burnaby
British Columbia,Cariboo Region
British Columbia,Chilliwack
British Columbia,Coquitlam
British Columbia,Courtenay
British Columbia,Cranbrook
British Columbia,Enderby
British Columbia,Gabriola Island
British Columbia,Hope
British Columbia,Kamloops
British Columbia,Kelowna
British Columbia,Langley
British Columbia,Lillooet
British Columbia,M'Chigeeng
British Columbia,Merritt
British Columbia,Nanaimo
British Columbia,New Westminster
British Columbia,Okanagan
British Columbia,Penticton
British Columbia,Port Alberni
British Columbia,Port Coquitlam
British Columbia,Prince George
British Columbia,Richmond
British Columbia,Saanich
British Columbia,Sechelt
British Columbia,Surrey
British Columbia,Vancouver
British Columbia,Victoria
British Columbia,West Moberly
British Columbia,West Vancouver
British Columbia,Wet'suwet'en
British Columbia,Whistler
British Columbia,Williams Lake
Manitoba,Brandon
Manitoba,Flin Flon
Manitoba,Grand Rapids
Manitoba,Keeseekoowenin Ojibway First Nation
Manitoba,Neepawa
Manitoba,Stonewall
Manitoba,Thompson
Manitoba,Winnipeg
New Brunswick,Fredericton
New Brunswick,Moncton
New Brunswick,Saint John
Newfoundland and Labrador,Happy Valley-Goose Bay
Newfoundland and Labrador,Innu Nation
Newfoundland and Labrador,Labrador
Newfoundland and Labrador,St. John's
Northwest Territories,Yellowknife
Nova Scotia,Amherst
Nova Scotia,Antigonish
Nova Scotia,Bedford
Nova Scotia,Berwick
Nova Scotia,Bible Hill
Nova Scotia,Cape Breton
Nova Scotia,Cherry Brook
Nova Scotia,Cole Harbour
Nova Scotia,Dartmouth
Nova Scotia,Halifax
Nova Scotia,New Glasgow
Nova Scotia,Pictou County
Nova Scotia,Sydney
Nova Scotia,Truro
Nova Scotia,Whycocomagh
Nova Scotia,Yarmouth
Nunavut,Iqaluit
Ontario,Ajax 
Ontario,Bay of Quinte
Ontario,Bolton
Ontario,Brampton
Ontario,Brantford
Ontario,Burlington
Ontario,Cambridge
Ontario,Cobourg
Ontario,Cornwall
Ontario,Dryden
Ontario,Durham
Ontario,Georgina
Ontario,Guelph
Ontario,Hamilton
Ontario,Kemptville
Ontario,Kincardine
Ontario,Kingston
Ontario,Kitchener
Ontario,London
Ontario,Manitoulin Island
Ontario,Markham
Ontario,Mississauga
Ontario,Newmarket
Ontario,Niagara
Ontario,Norfolk
Ontario,North Bay
Ontario,Ottawa
Ontario,Owen Sound
Ontario,Peel Region
Ontario,Pembroke
Ontario,Peterborough
Ontario,Sault Ste. Marie
Ontario,Scarborough
Ontario,Shelburne
Ontario,Simcoe North
Ontario,Sioux Lookout
Ontario,Stratford
Ontario,Sudbury
Ontario,Thunder Bay
Ontario,Timmins
Ontario,Toronto
Ontario,Vaughan
Ontario,Waterloo
Ontario,Welland
Ontario,Whitby
Ontario,Windsor
Prince Edward Island,Charlottetown
Prince Edward Island,Tignish
Quebec,Brossard
Quebec,Gaspé
Quebec,Gatineau
Quebec,Granby
Quebec,Hampstead
Quebec,Lac Ste. Anne
Quebec,Lacolle
Quebec,Laval
Quebec,Levis
Quebec,Longueuil
Quebec,Montreal
Quebec,Quebec City
Quebec,Sabrevois
Quebec,Saint-Eustache
Quebec,Saint-Jérôme
Quebec,Sutton
Quebec,West Island
Saskatchewan,Perdue
Saskatchewan,Prince Albert
Saskatchewan,Regina
Saskatchewan,Saskatoon
Yukon,Whitehorse
